"sample","chromosome","start","end","length_bp","n_markers","quality"
"E34M-2A",2,9434847,29019411,19584565,589,87
"E34M-2A",2,35542184,43558659,8016476,241,68.9
"E34M-2A",2,60959959,63770771,2810813,71,32.4
"E34M-2A",2,108470032,115347925,6877894,144,61
"E35M-2A",2,104712936,112616710,7903775,158,58.3
"E35M-2A",2,122504780,144915336,22410557,509,89.5
"E36F-2A",2,3686335,4771530,1085196,97,52.5
"E36F-2A",2,123611884,137960205,14348322,289,61.2
"E37F-1",2,17053,2089992,2072940,151,72.2
"E37F-1",2,15361766,155049323,139687558,3973,96.7
"E37F-1",2,166633062,167620744,987683,101,39.3
"LAO01M-2A",2,17053,1255780,1238728,86,30
"LAO01M-2A",2,7133170,115950412,108817243,3250,96.5
"LAO01M-2A",2,153048664,158005397,4956734,216,62.2
"LAO01M-2A",2,168752754,170680606,1927853,145,83.8
"LAO03M-1",2,3263291,123614942,120351652,3780,98.1
"LAO03M-1",2,125806416,148497960,22691545,404,72.3
"LAO03M-1",2,164711473,167883506,3172034,288,79.4
"LAO06M-2A",2,3076463,16294646,13218184,718,87.3
"LAO06M-2A",2,104187725,113313844,9126120,170,67.5
"LAO06M-2A",2,157942279,167672704,9730426,618,91.1
"LAO06M-2A",2,168715574,170680606,1965033,150,83.5
"LO01F-1",2,12908595,28794220,15885626,411,75.3
"LO01F-1",2,127161093,148990904,21829812,394,68.3
"LO03M-1",2,6575851,10850984,4275134,146,46.6
"LO03M-1",2,16251503,36914014,20662512,456,83.4
"LO03M-1",2,119123782,122748307,3624526,224,79.2
"LO03M-1",2,127161093,151281688,24120596,446,70.9
"LO03M-1",2,162445204,167044312,4599109,372,88.2
"LO04M-1",2,6448794,36530569,30081776,919,92
"LO04M-1",2,101569811,113313844,11744034,227,78.2
"LO04M-1",2,153083529,158005397,4921869,215,57.8
"LO04M-1",2,167571739,170680606,3108868,265,86
"OF289-2",2,101569811,113313844,11744034,216,77.3
"OF289-2",2,123969218,148990904,25021687,464,77.6
"OF289-2",2,164711473,167672704,2961232,267,80.6
"OF304-1A",2,64181873,73537967,9356095,432,85.7
"OF304-1A",2,116830064,122194829,5364766,251,68.6
"OF304-1A",2,149171350,154328611,5157262,162,32.4
"OF304-1A",2,157942279,163544205,5601927,284,79.1
"OF304-1A",2,164711473,167883506,3172034,296,79.6
"OM258-2",2,24258,3811780,3787523,275,82.8
"OM258-2",2,76736861,82814493,6077633,184,70.9
"OM258-2",2,165329358,170680606,5351249,399,92.8
"OM270-2",2,7133170,53381421,46248252,1299,94.3
"OM270-2",2,153048664,158005397,4956734,212,58.8
"OM274-3B",2,24258,6906783,6882526,525,91.3
"OM274-3B",2,15687951,29606855,13918905,256,60.4
"OM274-3B",2,101569811,113313844,11744034,217,73.4
"OM274-3B",2,115768120,120027687,4259568,196,79.9
"OM276-1",2,691650,3076463,2384814,208,69.5
"OM276-1",2,7133170,11664441,4531272,161,53.9
"OM276-1",2,116830064,119968193,3138130,136,52.8
"OM276-1",2,149058115,154126287,5068173,164,36.1
"OM276-1",2,160660311,163609245,2948935,195,75.4
"OM279-1",2,14241222,34470340,20229119,455,53.2
"OM279-1",2,63280672,76707261,13426590,582,89.4
"OM279-1",2,118338252,122428842,4090591,232,69.1
"OM279-1",2,154911701,160566706,5655006,214,61
"OM283-2",2,17053,1621338,1604286,115,57.1
"OM283-2",2,76736861,82810290,6073430,218,73.4
"OM283-2",2,104187725,113313844,9126120,169,60.7
"OM283-2",2,119000719,122285493,3284775,189,63.7
"OM283-2",2,148294882,154321652,6026771,190,39.8
"OM283-2",2,157942279,161276765,3334487,122,43.5
"OM290-2",2,16251503,29606855,13355353,218,54.8
"OM290-2",2,154978863,160566706,5587844,226,68.4
"OM292-2",2,14241222,35799032,21557811,511,81.8
"OM292-2",2,51329090,63088581,11759492,239,80
"OM292-2",2,120048592,142112867,22064276,526,72.9
"OM292-2",2,154819874,160566706,5746833,222,63.1
"OM301-1A",2,605103,4037992,3432890,323,74.6
"OM301-1A",2,80679257,84257351,3578095,124,65.7
"OM301-1A",2,153048664,158005397,4956734,208,47.5
"OM318-2",2,10138315,11664441,1526127,67,49
"OM318-2",2,101569811,113313844,11744034,219,75.6
"OM318-2",2,157942279,161276765,3334487,119,41
"OM331-1A",2,37672018,43558659,5886642,157,49.6
"OM331-1A",2,58582394,65081065,6498672,221,83.3
"OM331-1A",2,146532288,165011149,18478862,665,85.3
"Y22F-1",2,6644274,12268385,5624112,171,43.4
"Y22F-1",2,13404483,25263457,11858975,276,78
"Y22F-1",2,148294882,149370832,1075951,30,33
"Y27M-1",2,9334374,16219902,6885529,389,78.2
"Y28M-1",2,17053,829849,812797,55,50.4
"Y28M-1",2,5653266,11655388,6002123,239,78.6
"Y28M-1",2,36497636,43558659,7061024,194,49.7
"Y28M-1",2,102518509,127359351,24840843,821,91.1
"Y28M-1",2,156253239,157851912,1598674,82,46
"Y29F-1",2,5389900,80972128,75582229,2185,95.4
"Y29F-1",2,127161093,146800335,19639243,300,56.6
"Y29F-1",2,161361361,163655506,2294146,161,70.6
"Y29F-1",2,168315946,170680606,2364661,175,80.6
"Y30F-1",2,8032225,29261233,21229009,635,84.2
"Y30F-1",2,81283648,86790433,5506786,174,72.5
"Y30F-1",2,127161093,151281688,24120596,465,73.3
"Y31F-1",2,9309386,16294646,6985261,371,77.8
"Y31F-1",2,127172413,151870687,24698275,448,71
"Y31F-1",2,164877701,170664843,5787143,489,92.4
"Y32F-1",2,16438327,24996827,8558501,138,55
"Y32F-1",2,85727793,89651939,3924147,141,50.1
"E10F-1",3,13043636,24319031,11275396,553,89.8
"E10F-1",3,80344336,95108516,14764181,300,77.4
"E10F-1",3,117742622,122582660,4840039,170,69
"E13M-1",3,45018821,54185685,9166865,177,63.3
"E13M-1",3,88892553,104469144,15576592,442,81.5
"E13M-1",3,130541356,132387016,1845661,129,42.1
"E14F-1",3,10121920,12401927,2280008,167,69.6
"E14F-1",3,20373046,125746645,105373600,3209,97.5
"E14F-1",3,135382173,138923578,3541406,217,69
"E18F-1",3,85689961,91493769,5803809,107,63.1
"E18F-1",3,117660132,127873489,10213358,346,76.6
"E19M-2A",3,13136900,19457633,6320734,279,78.7
"E19M-2A",3,35152387,42043426,6891040,238,83.1
"E19M-2A",3,106784466,114117836,7333371,149,78.6
"E24M-1",3,60093,4160218,4100126,323,86.9
"E24M-1",3,6649318,13246104,6596787,480,87.5
"E24M-1",3,75129781,84938834,9809054,232,74.5
"E24M-1",3,92280872,102295473,10014602,297,79.1
"E24M-1",3,105366461,124605024,19238564,500,91.1
"E25F-1",3,14815805,19457633,4641829,167,54.6
"E27M-1",3,5903096,12401927,6498832,411,88.9
"E28F-1",3,1285372,2514085,1228714,98,44.5
"E28F-1",3,22520500,29054869,6534370,257,74.7
"E29M-1",3,21955132,29054869,7099738,308,74.6
"E29M-1",3,135948736,140503835,4555100,265,85.2
"E30M-1",3,60093,2075954,2015862,129,65
"E30M-1",3,8928979,12094052,3165074,253,80.4
"E30M-1",3,14967047,19822690,4855644,193,68.4
"E30M-1",3,132944524,136719897,3775374,257,79.1
"E31M-2",3,60093,6191475,6131383,486,91.2
"E31M-2",3,6649318,12401927,5752610,416,86.3
"E31M-2",3,26966230,35355347,8389118,392,84.2
"E31M-2",3,44171040,58672424,14501385,445,86.2
"E31M-2",3,105366461,122374174,17007714,445,92
"E31M-2",3,130651707,134396271,3744565,313,82.2
"E31M-2",3,138078414,140503835,2425422,146,73.5
"E32M-1",3,2524340,4602804,2078465,173,60.8
"E32M-1",3,128157779,129151916,994138,128,69.4
"E32M-1",3,137472167,140503835,3031669,172,86.7
"E33M-1",3,54904699,58306101,3401403,135,44.7
"E33M-1",3,95345288,103622813,8277526,234,66
"E34M-2A",3,60093,4602804,4542712,343,84.6
"E34M-2A",3,20403194,26644535,6241342,272,80.1
"E34M-2A",3,43425990,56918643,13492654,428,88.6
"E34M-2A",3,87703412,102364269,14660858,370,88.5
"E34M-2A",3,122062418,126879855,4817438,156,67.6
"E34M-2A",3,132954252,135513064,2558813,187,74.9
"E35M-2A",3,1346915,4928948,3582034,307,83.7
"E35M-2A",3,5971426,8818635,2847210,177,63
"E35M-2A",3,124795310,128167632,3372323,137,46.4
"E36F-2A",3,14815805,19822690,5006886,192,61.8
"E36F-2A",3,95345288,103622813,8277526,287,71.8
"E37F-1",3,14379322,21542489,7163168,378,80.1
"E37F-1",3,44648208,135259437,90611230,2793,97.2
"LAO01M-2A",3,60093,7592747,7532655,566,91.4
"LAO01M-2A",3,9703212,12038787,2335576,186,72.1
"LAO01M-2A",3,67668566,116743510,49074945,1190,87.8
"LAO01M-2A",3,127829553,137762291,9932739,770,92.3
"LAO03M-1",3,60093,6872588,6812496,522,91.8
"LAO03M-1",3,9691781,20434412,10742632,601,89.7
"LAO03M-1",3,28356211,70252023,41895813,1309,93.9
"LAO03M-1",3,104831859,125108235,20276377,510,88.2
"LAO03M-1",3,131092869,132621340,1528472,127,54.8
"LAO06M-2A",3,60093,7020196,6960104,542,93.7
"LAO06M-2A",3,37409755,42804732,5394978,212,70.8
"LAO06M-2A",3,104831859,110952412,6120554,141,48.5
"LAO06M-2A",3,127408638,132363103,4954466,392,84.7
"LAO06M-2A",3,134870607,136894042,2023436,127,72.9
"LO01F-1",3,10304583,12764487,2459905,167,78.4
"LO01F-1",3,85689961,96174773,10484813,225,69.6
"LO01F-1",3,117660132,123842020,6181889,198,56.1
"LO01F-1",3,137078608,140503835,3425228,201,78.9
"LO03M-1",3,2129984,3721912,1591929,158,68.5
"LO03M-1",3,13718551,20385753,6667203,309,76
"LO03M-1",3,69910175,85550696,15640522,353,73.9
"LO03M-1",3,117090998,131283558,14192561,632,87.9
"LO04M-1",3,60093,1469260,1409168,83,69.1
"LO04M-1",3,13718551,19457633,5739083,246,65
"LO04M-1",3,20459020,31096920,10637901,515,88
"LO04M-1",3,61841068,72207586,10366519,232,63.4
"LO04M-1",3,78830751,110952412,32121662,804,85.6
"LO04M-1",3,136825052,140503835,3678784,211,84
"OF289-2",3,13718551,19457633,5739083,230,65
"OF289-2",3,28356211,31096920,2740710,156,69.7
"OF289-2",3,61841068,72532898,10691831,240,66.6
"OF289-2",3,78830751,110952412,32121662,794,84.7
"OF304-1A",3,104831859,116743510,11911652,254,67.3
"OM258-2",3,133153339,138923578,5770240,299,73.3
"OM270-2",3,3907372,6872588,2965217,222,66.4
"OM270-2",3,9691781,20462055,10770275,597,89.2
"OM270-2",3,28356211,61619346,33263136,1130,94.8
"OM270-2",3,104831859,116743510,11911652,238,66.3
"OM270-2",3,131092869,132621340,1528472,121,44.2
"OM274-3B",3,95460,2466036,2370577,145,77.7
"OM274-3B",3,37409755,43192450,5782696,233,72
"OM274-3B",3,61107774,64781877,3674104,97,43.5
"OM274-3B",3,104831859,116743510,11911652,254,68.6
"OM274-3B",3,128197499,131796132,3598634,297,81
"OM274-3B",3,136825052,138922242,2097191,127,51.4
"OM276-1",3,73507601,87537359,14029759,321,83.3
"OM276-1",3,102757413,124266320,21508908,592,89.9
"OM279-1",3,47585473,55407146,7821674,189,61.8
"OM279-1",3,56678078,66543203,9865126,241,63.6
"OM283-2",3,60093,2438033,2377941,147,69.9
"OM283-2",3,31797019,72532898,40735880,1187,93.9
"OM283-2",3,135289782,138923578,3633797,224,78
"OM290-2",3,3515070,8437964,4922895,332,78.6
"OM290-2",3,20082623,55447156,35364534,1271,93.7
"OM290-2",3,83126251,87537359,4411109,94,39
"OM290-2",3,117182748,124630554,7447807,245,80
"OM290-2",3,136825052,138922242,2097191,122,42.5
"OM292-2",3,20082623,55407146,35324524,1245,94.3
"OM292-2",3,73507601,96174773,22667173,446,84.7
"OM292-2",3,102212961,116743510,14530550,354,74
"OM292-2",3,132926974,138923578,5996605,361,86.6
"OM301-1A",3,9691781,20223345,10531565,569,88.7
"OM301-1A",3,44831313,58514251,13682939,405,88.2
"OM301-1A",3,136825052,138922242,2097191,119,44.5
"OM318-2",3,1219617,2482760,1263144,97,31.4
"OM318-2",3,37409755,47253753,9843999,346,81.2
"OM318-2",3,76421459,86835561,10414103,239,83.2
"OM318-2",3,104831859,118870084,14038226,308,72.5
"OM331-1A",3,15320849,19575453,4254605,138,37.5
"OM331-1A",3,58228761,95008028,36779268,692,92.5
"OM331-1A",3,113575813,119907396,6331584,179,74.6
"Y22F-1",3,135948736,140503835,4555100,227,81.4
"Y27M-1",3,13043636,19457633,6413998,295,71
"Y27M-1",3,58631406,71108158,12476753,295,64.6
"Y27M-1",3,120075221,126879855,6804635,209,53.1
"Y28M-1",3,27755282,95108516,67353235,1934,96.5
"Y28M-1",3,113575813,117132863,3557051,81,35.1
"Y29F-1",3,19575453,26812859,7237407,314,82.3
"Y29F-1",3,37602825,42043426,4440602,154,66.7
"Y29F-1",3,118233538,129371347,11137810,428,79.4
"Y30F-1",3,11089806,12401927,1312122,83,31.6
"Y30F-1",3,28888494,35355347,6466854,263,77.3
"Y30F-1",3,44171040,62834940,18663901,563,85.4
"Y30F-1",3,135058736,137442145,2383410,151,57.4
"Y30F-1",3,138909885,140503835,1593951,92,45.4
"Y31F-1",3,13043636,19457633,6413998,278,75.4
"Y31F-1",3,75980077,84658553,8678477,198,68
"Y31F-1",3,101415964,126848451,25432488,731,91.2
"Y31F-1",3,138909885,140503835,1593951,86,41.6
"Y32F-1",3,60093,2342198,2282106,145,78.9
"Y32F-1",3,45018821,54185685,9166865,187,59.2
"Y32F-1",3,77166193,100646340,23480148,536,89.3
"Y32F-1",3,105808792,123842020,18033229,469,86.3
"E10F-1",4,385317,6799426,6414110,291,78.5
"E10F-1",4,13070572,18606110,5535539,317,84.6
"E10F-1",4,93052754,141715787,48663034,1530,94.6
"E10F-1",4,155917545,162511334,6593790,187,69.6
"E13M-1",4,1560894,9906826,8345933,394,88
"E13M-1",4,33690777,50865336,17174560,454,85.5
"E13M-1",4,89662051,104044345,14382295,445,87.6
"E13M-1",4,166330346,185096329,18765984,673,88.7
"E13M-1",4,187170214,194767915,7597702,171,49.3
"E13M-1",4,203383968,206516696,3132729,215,65.2
"E14F-1",4,475082,2077499,1602418,87,61.7
"E14F-1",4,6870996,21807128,14936133,656,88.4
"E14F-1",4,31438057,55529501,24091445,825,93.9
"E14F-1",4,58845941,120662870,61816930,1899,95.6
"E14F-1",4,124155309,126993155,2837847,106,37.5
"E14F-1",4,142289094,187562427,45273334,1521,93.2
"E14F-1",4,193380854,196675565,3294712,103,56.5
"E18F-1",4,189571845,202250805,12678961,367,86.1
"E19M-2A",4,129609222,134803067,5193846,136,46
"E19M-2A",4,170902617,187128262,16225646,583,80.6
"E24M-1",4,21798663,25804022,4005360,124,56
"E24M-1",4,32107895,33191713,1083819,118,49.7
"E24M-1",4,61097049,67586852,6489804,199,70.2
"E24M-1",4,123186729,134803067,11616339,378,84.3
"E24M-1",4,166397456,172644303,6246848,256,76
"E24M-1",4,183315142,187229005,3913864,164,70.4
"E24M-1",4,199941025,203024906,3083882,169,66
"E25F-1",4,6870996,14059126,7188131,255,71.5
"E25F-1",4,127450599,133980242,6529644,180,64.8
"E25F-1",4,139037240,147355459,8318220,282,78.2
"E25F-1",4,166330346,172644303,6313958,234,71.6
"E25F-1",4,181766713,185096329,3329617,114,32
"E25F-1",4,185965694,195279992,9314299,237,51
"E25F-1",4,203383968,207193806,3809839,243,83.8
"E27M-1",4,2043899,3274378,1230480,83,32.4
"E27M-1",4,130711769,140535963,9824195,280,78.9
"E27M-1",4,188016412,199817140,11800729,245,47.9
"E28F-1",4,385317,3359082,2973766,155,78.3
"E28F-1",4,8381397,12840872,4459476,134,42
"E29M-1",4,385317,3532560,3147244,176,79.4
"E29M-1",4,8277178,13605723,5328546,176,56
"E29M-1",4,33980133,54451110,20470978,554,88.9
"E29M-1",4,202655948,207193806,4537859,327,87
"E30M-1",4,3467555,14259064,10791510,420,83.6
"E31M-2",4,2012088,3274378,1262291,91,44.2
"E31M-2",4,21807128,31732294,9925167,361,87.2
"E31M-2",4,65365306,81451466,16086161,457,85.1
"E31M-2",4,97665448,121987336,24321889,745,93.5
"E31M-2",4,138500094,156750305,18250212,515,91.2
"E31M-2",4,185147061,194090758,8943698,246,62.3
"E31M-2",4,199390702,203296300,3905599,191,63.6
"E32M-1",4,6870996,18606110,11735115,533,89.4
"E32M-1",4,128376947,132316552,3939606,105,61.1
